"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
71219,02362422,Discontinuation,"ACETAMINOPHEN TABLETS USP 325 MG","APOTEX INC","ACETAMINOPHEN TAB 325MG",ACETAMINOPHEN,325MG,"30 BTL",ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2018-01-03,,"Business reasons",2019-01-04,2019-01-04,No
71216,02362244,Discontinuation,"ACETAMINOPHEN TABLETS USP 500 MG","APOTEX INC","ACETAMINOPHEN TAB 500MG",ACETAMINOPHEN,500MG,"30 BTL",ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2018-01-03,,"Business reasons",2019-01-04,2019-01-04,No
25692,02028174,Discontinuation,"ACETAMINOPHEN, CAFFEINE & CODEINE","PHARMASCIENCE INC","ACETA COD","ACETAMINOPHEN; CODEINE PHOSPHATE; CAFFEINE","300MG; 8MG; 15MG",50,ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2017-10-12,2017-10-12,"Business reasons",2017-10-12,2017-10-13,No
25698,02025337,Discontinuation,"ACETAMINOPHEN, CAFFEINE & CODEINE","PHARMASCIENCE INC","ACETA COD","ACETAMINOPHEN; CODEINE PHOSPHATE; CAFFEINE","300MG; 8MG; 15MG",50,ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2017-10-12,2017-10-12,"Business reasons",2017-10-12,2017-10-13,No
117748,02025337,Discontinuation,"ACETAMINOPHEN, CAFFEINE & CODEINE","PHARMASCIENCE INC","ACETAMINOPHEN, CAFFEINE & CODEINE","CODEINE PHOSPHATE; CAFFEINE; ACETAMINOPHEN","8MG; 15MG; 300MG","100, 200",ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2020-06-15,2020-06-15,"Business reasons",2020-06-15,2021-10-27,No
117751,02028174,Discontinuation,"ACETAMINOPHEN, CAFFEINE & CODEINE","PHARMASCIENCE INC","ACETAMINOPHEN, CAFFEINE & CODEINE","ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE","300MG; 15MG; 8MG","100, 200",ORAL,Discontinued,TABLET,N02AJ,OPIOIDS,2020-06-15,2020-06-15,"Business reasons",2020-06-15,2021-10-27,No
52665,00382752,Discontinuation,"ACETAMINOPHENE 325TAB","PRO DOC LIMITEE",ACETAMINOPHENE,ACETAMINOPHEN,325MG,1000,ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2018-06-20,,"Business reasons",2018-06-20,2018-06-21,No
52668,00386626,Discontinuation,"ACETAMINOPHENE 500TAB","PRO DOC LIMITEE",ACETAMINOPHENE,ACETAMINOPHEN,500MG,1000,ORAL,Discontinued,TABLET,N02BE,"OTHER ANALGESICS AND ANTIPYRETICS",2018-06-20,2018-09-12,"Business reasons",2018-06-20,2018-09-11,No
258526,00834319,Discontinuation,"ACETAZONE FORTE C8","TEVA CANADA LIMITED","ACETAZONE FORTE C-8 TABLETS 20","CHLORZOXAZONE; ACETAMINOPHEN; CODEINE PHOSPHATE","250MG; 300MG; 8MG",20,"ORAL; ORAL",Discontinued,TABLET,M03BB,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",2021-12-01,,"Business reasons",2025-05-28,2025-05-28,No
7237,00774960,Discontinuation,"ACID CONCENTRATE 2120","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","67.5G; 10.8G; 1.61G; 7.49G; 10.06G; 263G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2012-01-11,2012-01-11,"Business reasons",2017-04-19,2017-12-22,No
